Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
72,Rashaan Evans,TEN,25,LILB,16,16,0,34,25,73.50%,194,7.8,5.7,0,87.1,4.5,47,147,53,2,3,0.5,6,96,3,3.00%,EvanRa01
73,B.J. Goodson,CLE,27,MLB,14,14,2,60,48,80.00%,444,9.3,7.4,4,105.8,4,163,281,31,1,2,0.5,4,91,5,5.20%,GoodB.00
74,Josh Jones,JAX,26,SS,13,13,1,38,33,86.80%,439,13.3,11.6,4,138.9,7.3,181,258,25,1,0,0,1,83,7,7.80%,JoneJo06
75,Jalen Mills,PHI,26,FS,15,15,1,59,34,57.60%,391,11.5,6.6,2,82,8.8,221,170,36,1,3,1.5,6,74,9,10.80%,MillJa02
76,Nasir Adderley,LAC,23,FS,15,14,1,31,22,71.00%,345,15.7,11.1,6,133.7,12.6,252,93,4,0,1,0,1,69,12,14.80%,AddeNa00
77,Anthony Harris,MIN,29,FS,16,16,0,36,21,58.30%,262,12.5,7.3,4,118.1,11.5,171,91,18,0,0,0,0,104,10,8.80%,HarrAn01
78,Rayshawn Jenkins,LAC,26,SS,15,15,2,64,42,65.60%,366,8.7,5.7,2,78,6.4,150,216,13,0,0,1,1,84,11,11.60%,JenkRa00
79,Chuck Clark,BAL,25,SS,16,16,1,53,32,60.40%,348,10.9,6.6,2,84.5,7.2,152,196,60,3,2,1.5,7,96,5,5.00%,ClarCh00
80,Bobby Okereke,IND,24,RLB,14,8,1,61,48,78.70%,437,9.1,7.2,0,89.7,4.8,180,257,26,0,1,0,1,72,4,5.30%,OkerBo00
81,Jabrill Peppers,NYG,25,SS,15,14,1,69,45,65.20%,492,10.9,7.1,2,89.8,6.9,254,238,38,4,0,2.5,7,91,10,9.90%,PeppJa00
82,Lonnie Johnson Jr.,HOU,25,DB,16,5,0,37,27,73.00%,319,11.8,8.6,0,98.8,8.7,178,141,22,0,3,0,3,76,7,8.40%,JohnLo01
83,Cory Littleton,LVR,27,RLB,14,14,0,64,45,70.30%,492,10.9,7.7,1,97.9,3.1,50,442,43,2,0,0,2,82,17,17.20%,LittCo01
84,Trayvon Mullen,LVR,23,LCB/RCB,16,16,2,87,54,62.10%,604,11.2,6.9,5,92.3,9.2,400,204,0,0,0,0,0,64,10,13.50%,MullTr00
85,Darnell Savage Jr.,GNB,23,FS,15,15,4,39,22,56.40%,381,17.3,9.8,2,67.3,12.9,266,115,9,0,1,1,2,75,9,10.70%,SavaDa00
86,Jamie Collins,DET,31,RLB/MLB,14,14,1,47,34,72.30%,434,12.8,9.2,2,106.2,5.9,178,256,42,3,2,1,6,101,12,10.60%,CollJa00
87,Troy Hill,LAR,29,LCB,16,16,3,91,64,70.30%,638,10,7,4,90.8,7,321,317,19,2,0,0,2,77,9,10.50%,HillTr01
88,Michael Ojemudia,DEN,23,LCB,16,11,0,88,54,61.40%,815,15.1,9.3,3,103.2,11.5,576,239,2,0,0,0,0,62,12,16.20%,OjemMi00
89,Germaine Pratt,CIN,24,MLB,16,15,0,47,38,80.90%,331,8.7,7,2,110.2,4.5,142,189,30,0,0,0,0,89,10,10.10%,PratGe00
90,Duron Harmon,DET,29,FS,16,16,2,40,27,67.50%,597,22.1,14.9,3,114.6,15.9,438,159,7,0,1,0,1,73,10,12.00%,HarmDu00
91,Terrance Mitchell,CLE,28,RCB,16,16,0,99,58,58.60%,825,14.2,8.3,6,105.8,12.3,508,317,0,0,0,0,0,65,5,7.10%,MitcTe00
92,Harrison Smith,MIN,31,SS,16,16,5,32,21,65.60%,338,16.1,10.6,1,71.6,15.3,247,91,33,2,4,0.5,7,89,8,8.20%,SmitHa00
93,Josh Bynes,CIN,31,LLB,16,16,0,36,26,72.20%,211,8.1,5.9,0,86.7,1.6,42,169,24,0,1,1,2,99,16,13.90%,ByneJo00
94,Shaquill Griffin,SEA,25,LCB,12,12,3,87,54,62.10%,644,11.9,7.4,6,93.3,11.2,487,157,2,0,0,0,0,63,4,6.00%,GrifSh00
95,Lamarcus Joyner,LVR,30,LLB,14,6,0,66,44,66.70%,458,10.4,6.9,1,91.6,7.9,243,215,21,0,0,0,0,66,7,9.60%,JoynLa00
96,Dre Kirkpatrick,ARI,31,RCB,14,11,3,94,62,66.00%,660,10.6,7,2,80.1,8.9,346,314,1,0,0,0,0,56,11,16.40%,KirkDr00
97,A.J. Klein,BUF,29,LLB,16,11,0,48,35,72.90%,359,10.3,7.5,1,101,3.9,57,302,64,2,3,5,12,75,17,18.50%,KleiAJ00
98,Nick Kwiatkoski,LVR,27,MLB,12,12,1,47,27,57.40%,249,9.2,5.3,2,77.3,5,148,101,16,2,1,1,4,81,10,11.00%,KwiaNi00
99,Sean Murphy-Bunting,TAM,23,RCB,16,13,1,100,77,77.00%,942,12.2,9.4,6,121.3,8.6,575,367,27,1,1,0,2,70,14,16.70%,BuntSe00
100,Troy Reeder,LAR,26,LILB,16,7,0,39,30,76.90%,230,7.7,5.9,0,90.8,1.3,16,214,15,0,1,3,4,81,8,9.00%,ReedTr01
101,Darius Slay,PHI,29,RCB,15,14,1,90,69,76.70%,851,12.3,9.5,3,111.9,9.6,580,271,2,0,0,0,0,59,5,7.80%,SlayDa00
102,Jordan Whitehead,TAM,23,FS,16,16,2,35,22,62.90%,309,14,8.8,2,86.5,10,234,75,36,4,1,2,7,74,9,10.80%,WhitJo03
103,Carlton Davis,TAM,24,LCB,14,14,4,105,65,61.90%,855,13.2,8.1,5,87.6,11.3,560,295,4,0,0,0,0,68,11,13.90%,DaviCa02
104,Kyle Fuller,CHI,28,LCB,16,16,1,83,46,55.40%,527,11.5,6.3,5,89.8,10.6,346,181,1,0,0,0,0,65,16,19.80%,FullKy00
105,C.J. Gardner-Johnson,NOR,23,DB,15,13,1,94,54,57.40%,442,8.2,4.7,2,72.2,7,221,221,31,2,3,1,6,66,11,14.30%,GardCh00
106,Marshon Lattimore*,NOR,24,RCB,14,14,2,85,45,52.90%,626,13.9,7.4,7,94.5,12.9,484,142,0,0,0,0,0,62,4,6.10%,LattMa01
107,Marcus Maye,NYJ,27,FS,16,16,2,46,27,58.70%,285,10.6,6.2,3,80.4,11,139,146,23,1,0,2,3,88,11,11.10%,MayeMa00
108,Patrick Peterson,ARI,30,LCB,16,16,3,79,53,67.10%,662,12.5,8.4,5,98.2,11.3,451,211,3,0,0,0,0,61,5,7.60%,PetePa00
109,Buster Skrine,CHI,31,DB,12,3,0,64,50,78.10%,507,10.1,7.9,5,125.7,8.9,334,173,9,0,0,0,0,66,7,9.60%,SkriBu00
110,Jamel Dean,TAM,24,DB,14,7,1,70,43,61.40%,400,9.3,5.7,3,85.4,9.4,258,142,7,1,0,0,1,62,2,3.10%,DeanJa00
111,DeShon Elliott,BAL,23,FS,16,16,0,39,23,59.00%,342,14.9,8.8,3,113.4,12.4,254,88,49,1,2,2.5,7,80,11,12.10%,ElliDe02
112,Isaiah Oliver,ATL,24,RCB,16,12,0,90,63,70.00%,745,11.8,8.3,7,120.8,8.3,364,381,17,2,1,1,4,70,8,10.30%,OlivIs00
113,Andrew Sendejo,CLE,33,FS,14,14,0,47,34,72.30%,474,13.9,10.1,7,144,14,368,106,3,0,0,0,0,67,10,13.00%,SendAn00
114,Blessuan Austin,NYJ,24,RCB,11,10,0,73,48,65.80%,478,10,6.5,3,97.9,7.8,302,176,3,0,1,0,1,63,12,16.00%,AustBl00
115,Ja'Whaun Bentley,NWE,24,LLB,13,13,0,31,24,77.40%,221,9.2,7.1,0,96.3,4.3,60,161,45,2,2,1.5,6,91,9,9.00%,BentJa00
116,Rasul Douglas,CAR,26,RCB,14,11,0,98,62,63.30%,783,12.6,8,6,108.5,9.4,514,269,2,0,0,0,0,62,8,11.40%,DougRa00
117,Jason Verrett,SFO,29,LCB,13,13,2,75,50,66.70%,454,9.1,6.1,1,76.2,8.7,284,170,2,0,0,0,0,60,4,6.30%,VerrJa00
118,Kyzir White,LAC,24,LLB,11,10,0,49,37,75.50%,349,9.4,7.1,2,108.3,6.3,203,146,13,0,2,0.5,3,77,10,11.50%,WhitKy00
119,Krys Barnes,GNB,22,RILB/LIL,13,10,0,31,27,87.10%,225,8.3,7.3,2,118.4,3.1,75,150,16,1,0,1,2,80,7,8.00%,BarnKr00
120,Trevon Diggs,DAL,22,RCB,12,11,3,84,46,54.80%,667,14.5,7.9,5,85.8,13.3,465,202,2,0,0,1,1,58,5,7.90%,DiggTr00
121,Malcolm Smith,CLE,31,LB,15,4,1,45,35,77.80%,286,8.2,6.4,0,83.9,4.1,82,204,30,1,0,1,2,72,5,6.50%,SmitMa02
