Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
22,Jeremy Chinn,CAR,23,FS,16,16,1,0,0,0,5,1,0,1,16,0,1,107,75,32,6,5,,ChinJe00
23,Jordan Hicks,ARI,29,RILB,17,17,0,0,0,0,5,1,0,2,0,0,4,116,75,41,7,5,,HickJo00
24,Derwin James*,LAC,25,SS,15,15,2,20,0,15,5,3,0,0,0,0,2,118,75,43,7,7,,JameDe00
25,Shaquille Leonard*+,IND,26,LLB,16,16,4,12,0,7,8,8,1,3,31,0,0,122,75,47,4,3,,LeonDa00
26,Tracy Walker,DET,26,SS,15,15,1,5,0,5,6,,,,,0,1,108,74,34,3,1,,WalkTr01
27,Quincy Williams,NYJ,25,MLB,16,13,0,0,0,0,5,3,0,0,0,0,2,110,73,37,9,4,,WillQu01
28,Xavier Woods,MIN,26,FS,17,17,3,54,0,27,10,2,0,0,0,0,1,108,72,36,1,1,,WoodXa00
29,Kamu Grugier-Hill,HOU,27,LLB,14,14,1,82,0,82,3,2,0,0,0,0,3,108,71,37,13,5,,GrugKa00
30,Nick Bolton,KAN,21,RLB,16,12,0,0,0,0,3,0,0,1,86,1,0,112,70,42,11,3,,BoltNi00
31,Demario Davis,NOR,32,MLB,16,16,0,0,0,0,7,,,,,0,3,105,70,35,13,10,,DaviDe00
32,Kyle Dugger,NWE,25,DB,15,13,4,100,0,37,5,0,0,1,0,0,0,92,70,22,5,2,,DuggKy00
33,Tremaine Edmunds,BUF,23,MLB,15,15,1,4,0,4,4,,,,,0,0,108,70,38,7,1,,EdmuTr01
34,Joe Schobert,PIT,28,LILB,16,15,1,23,0,23,6,1,0,0,0,0,0,112,70,42,2,1,,SchoJo00
35,Isaiah Simmons,ARI,23,LILB,17,17,1,0,0,0,7,4,0,0,0,0,1.5,105,70,35,4,4,,SimmIs00
36,Nasir Adderley,LAC,24,FS,15,15,0,0,0,0,5,1,0,1,0,0,0.5,99,69,30,3,2,,AddeNa00
37,Anthony Walker,CLE,26,MLB,13,12,0,0,0,0,2,,,,,0,1,113,69,44,2,1,,WalkAn01
38,Ja'Whaun Bentley,NWE,25,LILB,16,16,0,0,0,0,2,3,0,0,0,0,1,109,68,41,5,5,,BentJa00
39,Desmond King,HOU,27,LCB,16,12,3,25,0,25,6,1,0,0,0,0,0,93,68,25,1,0,,KingDe01
40,Patrick Queen,BAL,22,RILB,17,17,0,0,0,0,1,1,0,1,0,0,2,98,68,30,10,3,,QueePa00
41,Jessie Bates III,CIN,24,FS,15,15,1,65,0,65,4,0,0,1,46,0,0,88,67,21,3,1,,BateJe00
42,Jayron Kearse,DAL,27,SS,16,15,2,34,0,34,10,0,0,1,1,0,1,101,67,34,9,6,,KearJa00
43,Quandre Diggs*,SEA,28,FS,17,17,5,68,0,29,7,,,,,0,0,94,66,28,1,0,,DiggQu00
44,Bryce Hall,NYJ,24,LCB,17,17,0,0,0,0,16,,,,,0,0.5,79,66,13,4,2,,HallBr02
45,Jordan Poyer+,BUF,30,SS,16,16,5,87,0,26,9,,,,,0,3,93,66,27,8,3,,PoyeJo00
46,Shaq Thompson,CAR,27,LLB,14,13,2,39,0,29,5,,,,,0,2,104,65,39,9,6,,ThomSh01
47,Johnathan Abram,LVR,25,SS,14,14,1,6,0,6,4,0,0,1,0,0,0,116,64,52,5,3,,AbraJo01
48,Vonn Bell,CIN,27,SS,16,16,1,15,0,15,8,3,0,1,0,0,0.5,97,64,33,5,1,,BellVo00
49,Tae Crowder,NYG,24,RILB,17,17,2,26,0,17,6,1,1,0,0,0,0,130,64,66,3,1,,CrowTa00
50,T.J. Edwards,PHI,25,MLB,16,14,1,1,0,1,5,0,0,1,0,0,1,130,64,66,5,2,,EdwaTJ02
51,Kendall Fuller,WAS,26,LCB,16,16,1,0,0,0,16,,,,,0,1,77,64,13,2,1,,FullKe00
52,Micah Parsons*+,DAL,22,LLB,16,16,0,0,0,0,3,3,0,0,0,0,13,84,64,20,20,30,,ParsMi00
53,Taylor Rapp,LAR,24,FS,17,17,4,31,0,18,6,0,0,1,0,0,1.5,94,64,30,2,3,,RappTa00
54,Budda Baker*,ARI,25,SS,17,17,3,101,0,77,7,0,0,1,0,0,2,98,63,35,6,3,,BakeBu00
55,Lavonte David,TAM,31,RILB,12,12,0,0,0,0,3,2,0,1,12,0,2,97,63,34,5,4,,DaviLa00
56,Terrell Edmunds,PIT,24,SS,17,17,2,15,0,15,6,,,,,0,1,89,63,26,8,1,,EdmuTe00
57,Jordan Fuller,LAR,23,SS,16,16,1,34,0,34,4,,,,,0,0,113,63,50,1,0,,FullJo01
58,Jerome Baker,MIA,25,LLB,16,16,1,0,0,0,4,1,0,0,0,0,5.5,92,62,30,9,15,,BakeJe00
59,Kamren Curl,WAS,22,FS,16,14,0,0,0,0,5,0,0,1,0,0,1,99,62,37,2,3,,CurlKa00
60,Will Harris,DET,26,FS,17,17,0,0,0,0,4,1,0,0,0,0,0.5,93,62,31,0,1,,HarrWi02
61,Myles Jack,JAX,26,RILB,15,15,,,0,,,,,,,0,0,108,62,46,3,2,,JackMy00
62,Kareem Jackson,DEN,33,SS,15,15,1,7,0,7,2,,,,,0,1,88,62,26,1,0,,JackKa99
63,Jalen Ramsey*+,LAR,27,RCB,16,16,4,41,0,25,16,1,0,1,8,0,0,77,62,15,9,1,,RamsJa00
64,D.J. Reed,SEA,25,RCB,14,14,2,9,0,7,10,0,0,1,0,0,0,78,62,16,0,0,,ReedD.00
65,Antoine Winfield Jr.*,TAM,23,SS,13,13,2,30,0,30,6,2,0,3,9,0,2,88,62,26,4,3,,WinfAn00
66,Tyrann Mathieu*,KAN,29,SS,16,16,3,56,1,34,6,0,0,3,12,0,1,76,60,16,2,2,,MathTy00
67,Justin Simmons,DEN,28,FS,17,17,5,76,0,35,12,,,,,0,1.5,80,60,20,4,2,,SimmJu00
68,Darious Williams,LAR,28,LCB,14,13,0,0,0,0,9,0,0,1,0,0,0,71,60,11,3,0,,WillDa09
69,Anthony Brown,DAL,28,RCB,16,16,3,45,1,45,17,1,0,0,0,0,0,71,59,12,1,0,,BrowAn02
70,Xavier McKinney,NYG,22,FS/SS,17,16,5,64,1,41,10,,,,,0,0,93,59,34,1,0,,McKiXa00
71,Damien Wilson,JAX,28,LILB,17,17,1,1,0,1,5,1,0,0,0,0,3,106,59,47,5,5,,WilsDa02
72,Azeez Al-Shaair,SFO,24,LLB,13,13,1,24,0,24,5,1,0,2,12,0,2,102,58,44,9,2,,AlShAz00
73,Krys Barnes,GNB,23,LILB,16,13,0,0,0,0,4,0,0,2,1,0,1,81,58,23,4,1,,BarnKr00
74,Jordan Whitehead,TAM,24,FS,14,14,2,24,0,17,8,1,0,0,0,0,0,73,58,15,5,1,,WhitJo03
75,Kevin Byard*+,TEN,28,SS,17,17,5,66,1,24,13,2,0,1,30,1,1,88,57,31,1,4,,ByarKe01
76,Matt Milano,BUF,27,LLB,16,16,0,0,0,0,5,0,0,2,0,0,3,86,57,29,15,6,,MilaMa00
77,Germaine Pratt,CIN,25,MLB,15,15,1,4,0,4,2,2,0,2,0,0,0.5,91,57,34,5,2,,PratGe00
78,L'Jarius Sneed,KAN,24,RCB,15,15,2,2,0,2,8,1,0,1,0,0,1,76,57,19,7,2,,SneeLJ00
79,Logan Wilson,CIN,25,LLB,13,13,4,31,0,18,4,1,0,0,0,0,1,100,57,43,5,1,,WilsLo00
80,Andrew Wingard,JAX,25,SS,15,15,1,23,0,23,1,,,,,0,1,88,57,31,2,1,,WingAn01
81,Jamal Adams,SEA,26,SS,12,12,2,0,0,0,5,,,,,0,0,87,56,31,4,2,,AdamJa00
82,Rayshawn Jenkins,JAX,27,SS,14,14,0,0,0,0,3,,,,,0,0,73,56,17,1,1,,JenkRa00
83,Adrian Phillips,NWE,29,SS,17,13,4,39,1,26,9,1,0,0,0,0,0,92,56,36,3,1,,PhilAd00
84,Paulson Adebo,NOR,22,LCB,17,17,3,50,0,33,8,,,,,0,0,66,55,11,4,0,,AdebPa00
85,Christian Kirksey,HOU,29,MLB,13,12,1,1,0,1,8,0,0,2,-1,0,0,93,55,38,6,2,,KirkCh00
86,Marshon Lattimore*,NOR,25,RCB,16,16,3,35,0,20,19,0,0,1,1,0,0,68,55,13,0,0,,LattMa01
87,Alec Ogletree,CHI,30,LILB,16,16,0,0,0,0,4,1,0,0,0,0,0,87,55,32,5,3,,OgleAl00
88,Eddie Jackson,CHI,28,FS,14,14,0,0,0,0,2,1,0,0,0,0,0,76,54,22,4,0,,JackEd01
89,Chidobe Awuzie,CIN,26,RCB,14,14,2,42,0,42,14,,,,,0,0,64,53,11,4,0,,AwuzCh00
90,Cameron Heyward*+,PIT,32,RDE,17,17,1,0,0,0,9,1,0,1,0,0,10,89,53,36,15,17,,HeywCa01
91,Micah Hyde,BUF,31,FS,17,17,5,59,1,26,10,1,0,2,16,0,1,74,53,21,4,2,,HydeMi00
92,Malcolm Jenkins,NOR,34,SS,16,16,1,34,1,34,5,1,0,0,0,0,1,79,53,26,3,2,,JenkMa99
93,Taron Johnson,BUF,25,RLB,16,15,1,4,0,4,7,1,0,0,0,0,3,76,53,23,4,3,,JohnTa01
94,Avonte Maddox,PHI,25,LB,16,5,1,-1,0,-1,9,2,0,0,0,0,0.5,73,53,20,5,3,,MaddAv00
95,Jalen Reeves-Maybin,DET,26,RILB,15,11,0,0,0,0,4,2,0,1,0,0,0,82,53,29,4,1,,ReevJa00
96,Rasul Douglas,GNB,27,RCB,12,9,5,105,2,55,13,1,0,0,0,0,0,57,52,5,1,0,,DougRa00
97,AJ Terrell,ATL,23,LCB,16,16,3,42,0,35,16,1,0,0,0,0,1,81,52,29,3,1,,TerrAJ00
98,Marcus Williams,NOR,25,FS,16,16,2,56,0,53,8,1,0,0,0,0,0,74,52,22,0,0,,WillMa06
99,Landon Collins,WAS,27,SS,13,13,2,3,0,3,2,1,0,2,23,0,3,81,51,30,7,2,,CollLa00
100,Zach Cunningham,2TM,27,LB/RLB,14,11,0,0,0,0,3,1,0,0,0,0,0,93,51,42,7,1,,CunnZa00
101,Nate Hobbs,LVR,22,DB,16,9,1,9,0,9,3,1,0,0,0,0,1,74,51,23,3,4,,HobbNa00
102,Harold Landry*,TEN,25,ROLB,17,17,,,0,,,1,0,0,0,0,12,75,51,24,14,22,,LandHa00
103,Cory Littleton,LVR,28,LLB,17,13,0,0,0,0,4,0,0,1,0,0,0.5,98,51,47,2,2,,LittCo01
104,Tavierre Thomas,HOU,25,DB,17,8,2,48,1,48,4,1,0,0,0,0,0,86,51,35,1,1,,ThomTa01
105,Jimmie Ward,SFO,30,FS,16,16,2,27,1,27,6,,,,,0,0,77,51,26,1,0,,WardJi01
106,Josh Bynes,BAL,32,LILB,14,12,0,0,0,0,4,,,,,0,2,76,50,26,6,3,,ByneJo00
107,Brandin Echols,NYJ,24,RCB,14,14,2,50,1,30,9,,,,,0,0,63,50,13,2,0,,EchoBr00
108,Donte Jackson,CAR,26,LCB,12,12,2,21,0,21,10,1,0,0,0,0,0,61,50,11,3,0,,JackDo02
109,Andrew Van Ginkel,MIA,26,RLB,17,14,0,0,0,0,7,1,0,0,0,0,4,71,50,21,9,20,,VanGAn00
110,Alex Anzalone,DET,27,LILB,14,14,1,0,0,0,7,,,,,0,1,78,49,29,1,2,,AnzaAl00
111,Tyson Campbell,JAX,21,RCB,15,14,2,3,0,3,10,,,,,0,0,73,49,24,2,0,,CampTy01
112,Chuck Clark,BAL,26,SS,16,16,2,17,1,17,12,,,,,0,1,80,49,31,3,1,,ClarCh00
113,Byron Murphy,ARI,23,LCB,16,16,4,49,1,29,12,1,0,1,0,0,0.5,64,49,15,0,1,,MurpBy00
114,Jeremiah Owusu-Koramoah,CLE,22,LLB,14,10,0,0,0,0,4,2,0,0,0,0,1.5,76,49,27,3,4,,OwusJe00
115,Brandon Stephens,BAL,24,FS,17,11,0,0,0,0,4,,,,,0,0,78,49,29,1,1,,StepBr01
116,Christian Wilkins,MIA,26,RDE,17,17,0,0,0,0,4,1,1,1,9,0,4.5,89,49,40,10,13,,WilkCh00
117,Jamin Davis,WAS,23,MLB,16,8,0,0,0,0,1,,,,,0,1,76,48,28,3,2,,DaviJa11
118,Mike Hilton,CIN,27,DB,17,9,2,59,1,35,5,1,0,0,0,0,0,66,48,18,8,2,,HiltMi01
119,Jevon Holland,MIA,21,FS,16,13,2,0,0,0,10,0,2,3,3,0,2.5,69,48,21,3,7,,HollJe02
120,Brandon Jones,MIA,23,SS,15,13,1,8,0,8,1,1,1,2,7,0,5,79,48,31,6,10,,JoneBr06
121,Eric Murray,HOU,27,FS,16,11,1,0,0,0,4,,,,,0,0,76,48,28,0,0,,MurrEr00
122,Nik Needham,MIA,25,DB,17,5,2,28,1,28,5,0,0,1,0,0,1,59,48,11,1,2,,NeedNi00
123,Troy Reeder,LAR,27,LLB,17,10,2,2,0,2,6,,,,,0,2,91,48,43,6,4,,ReedTr01
124,Darnell Savage Jr.,GNB,24,FS,17,17,2,0,0,0,9,,,,,0,0,63,48,15,2,0,,SavaDa00
125,Leighton Vander Esch,DAL,25,RLB,17,16,1,7,0,7,2,,,,,0,1,77,48,29,4,1,,VandLe00
126,Charvarius Ward,KAN,25,LCB,13,12,2,0,0,0,10,,,,,0,0,67,48,19,2,0,,WardCh01
127,T.J. Watt*+,PIT,27,LOLB,15,15,0,0,0,0,7,5,0,3,1,0,22.5,64,48,16,21,39,,WattT.00
128,Bashaud Breeland,MIN,29,RCB,13,13,2,26,0,18,5,2,0,0,0,0,0,63,47,16,1,0,,BreeBa00
129,Adoree' Jackson,NYG,26,RCB,13,12,1,10,0,10,8,,,,,0,0,62,47,15,1,0,,JackAd00
130,Byron Jones,MIA,29,LCB,16,16,0,0,0,0,10,1,0,0,0,0,0,58,47,11,0,0,,JoneBy00
131,Jourdan Lewis,DAL,26,DB,16,13,3,88,0,66,11,1,0,2,10,0,1.5,61,47,14,1,3,,LewiJo01
132,Bobby McCain,WAS,28,FS,17,16,4,63,1,30,9,,,,,0,0,63,47,16,0,0,,McCaBo01
133,Levi Wallace,BUF,26,RCB,17,17,2,29,0,15,10,0,0,1,0,0,0,58,47,11,1,0,,WallLe00
134,Josh Allen,JAX,24,LOLB,16,15,1,11,0,11,4,1,0,1,0,0,7.5,71,46,25,12,14,,AlleJo03
135,Anthony Averett,BAL,27,LCB,14,14,3,21,0,21,11,,,,,0,0,54,46,8,0,0,,AverAn00
136,Erik Harris,ATL,31,SS,12,12,0,0,0,0,8,,,,,0,0.5,64,46,18,3,2,,HarrEr00
137,Alex Highsmith,PIT,24,ROLB,16,16,,,0,,,1,0,0,0,0,6,74,46,28,15,15,,HighAl02
138,David Long,TEN,25,LILB,10,9,2,6,0,6,6,,,,,0,0,75,46,29,4,2,,LongDa04
139,Michael Carter,NYJ,22,DB,15,7,0,0,0,0,5,0,0,2,2,0,1,72,45,27,4,2,,CartMi02
140,Sidney Jones,SEA,25,LCB,16,11,0,0,0,0,10,,,,,0,0,66,45,21,1,0,,JoneSi00
141,Terrance Mitchell,HOU,29,RCB,14,13,1,22,0,22,10,3,0,0,0,0,0,60,45,15,1,0,,MitcTe00
142,George Odum,IND,28,SS,17,7,1,21,0,21,2,1,0,1,0,0,0,55,45,10,0,1,,OdumGe00
143,Patrick Surtain II,DEN,21,LCB/RCB,16,15,4,70,1,70,14,,,,,0,0,58,45,13,1,0,,SurtPa01
144,Drue Tranquill,LAC,26,RILB,14,7,0,0,0,0,1,0,0,1,16,0,1.5,76,45,31,5,3,,TranDr00
145,Nick Vigil,MIN,28,RLB,16,12,1,38,1,38,1,,,,,0,1,85,45,40,4,3,,VigiNi00
146,Cameron Dantzler,MIN,23,LCB,14,7,1,0,0,0,8,1,0,0,0,0,0,53,44,9,0,0,,DantCa00
147,Jamel Dean,TAM,25,LCB,15,11,2,6,0,6,9,,,,,0,0,53,44,9,2,0,,DeanJa00
148,Duron Harmon,ATL,30,FS,17,17,2,0,0,0,5,,,,,0,0,67,44,23,2,1,,HarmDu00
149,Marlon Humphrey,BAL,25,RCB,12,12,1,0,0,0,13,1,0,0,0,0,0,58,44,14,0,1,,HumpMa00
150,J.C. Jackson*,NWE,26,LCB,17,17,8,92,1,88,23,1,0,0,0,0,0,58,44,14,2,0,,JackJ.00
151,Fabian Moreau,ATL,27,RCB,16,16,0,0,0,0,11,0,0,1,0,0,0,61,44,17,3,0,,MoreFa00
152,Keanu Neal,DAL,26,MLB,14,5,,,0,,,,,,,0,1,72,44,28,4,2,,NealKe01
153,Amani Oruwariye,DET,25,RCB,14,14,6,73,0,50,11,0,0,1,0,0,0,57,44,13,2,0,,OruwAm00
154,Cameron Sutton,PIT,26,RCB,16,16,2,4,0,4,6,1,0,0,0,0,0,52,44,8,4,0,,SuttCa00
155,Ashtyn Davis,NYJ,25,SS/FS,13,10,2,18,0,18,3,3,0,0,0,0,0.5,62,43,19,0,1,,DaviAs00
156,Grant Delpit,CLE,23,SS,15,7,1,5,0,5,3,1,0,0,0,0,1,66,43,23,3,1,,DelpGr00
157,Trevon Diggs*+,DAL,23,LCB,16,16,11,142,2,59,21,,,,,0,0,52,43,9,0,0,,DiggTr00
158,Elijah Molden,TEN,22,DB,16,7,1,2,1,2,4,1,0,1,0,0,0,62,43,19,3,1,,MoldEl00
159,Eric Rowe,MIA,29,DB,17,4,0,0,0,0,4,3,0,0,0,0,0,71,43,28,0,1,,RoweEr00
160,Eric Stokes,GNB,22,LCB/RCB,16,14,1,0,0,0,14,,,,,0,0,55,43,12,0,0,,StokEr00
161,Juan Thornhill,KAN,26,FS,17,12,1,13,0,13,3,1,0,1,0,0,0,64,43,21,1,1,,ThorJu00
162,Khari Willis,IND,25,SS,11,10,2,0,0,0,4,0,0,1,0,0,1.5,63,43,20,2,2,,WillKh00
163,Ugo Amadi,SEA,24,DB,17,7,1,12,0,12,6,1,1,0,0,0,0,54,42,12,2,0,,AmadUg00
164,Derrick Barnes,DET,22,LB,17,6,0,0,0,0,2,,,,,0,2,67,42,25,4,2,,BarnDe02
165,Ronald Darby,DEN,27,RCB,11,11,0,0,0,0,6,,,,,0,0,53,42,11,1,0,,DarbRo00
166,Michael Davis,LAC,26,LCB,14,14,1,0,0,0,12,0,0,2,36,0,0,54,42,12,1,0,,DaviMi03
167,Brandon Facyson,LVR,27,LCB,12,9,1,0,0,0,13,,,,,0,0,55,42,13,2,1,,FacyBr00
168,Devin McCourty,NWE,34,FS,17,17,3,22,0,22,10,,,,,0,0,60,42,18,0,0,,McCoDe99
169,Elandon Roberts,MIA,27,MLB,17,15,1,85,1,85,4,2,0,0,0,0,1,83,42,41,6,2,,RobeEl00
170,Gregory Rousseau,BUF,21,LDE,17,17,1,3,0,3,4,1,0,0,0,0,4,50,42,8,8,10,,RousGr00
171,Jeffery Simmons*,TEN,24,RDE,17,17,0,0,0,0,6,,,,,0,8.5,54,42,12,12,16,,SimmJe01
172,Jaquiski Tartt,SFO,29,SS,14,14,0,0,0,0,1,,,,,0,0,66,42,24,5,1,,TartJa00
173,Kyle Van Noy,NWE,30,LILB,16,8,1,35,1,35,10,2,0,1,0,0,5,66,42,24,5,7,,VanNKy00
174,Devin Bush Jr.,PIT,23,RILB,14,14,0,0,0,0,4,1,0,1,-1,0,2,70,41,29,2,4,,BushDe01
175,Anthony Hitchens,KAN,29,MLB,15,15,1,0,0,0,2,,,,,0,0,80,41,39,4,2,,HitcAn00
176,Justin Reid,HOU,24,SS,13,13,2,45,0,24,4,1,0,0,0,0,0,66,41,25,2,0,,ReidJu00
177,Kenny Young,2TM,27,MLB/RILB,13,13,0,0,0,0,1,2,0,1,0,0,2,75,41,34,6,2,,YounKe03
178,Nick Bosa*,SFO,24,RDE/LDE,17,17,0,0,0,0,1,4,0,0,0,0,15.5,52,40,12,21,32,,BosaNi00
179,DeForest Buckner*,IND,27,LDT,17,16,0,0,0,0,3,,,,,0,7,68,40,28,10,18,,BuckDe00
180,Kyle Fuller,DEN,29,LCB,16,10,0,0,0,0,4,,,,,0,0,51,40,11,3,0,,FullKy00
181,Ronnie Harrison,CLE,24,SS,12,11,1,0,0,0,3,,,,,0,1,58,40,18,4,1,,HarrRo02
182,Mike Hughes,KAN,24,DB,17,5,1,0,0,0,6,4,1,1,23,1,0,47,40,7,0,0,,HughMi00
183,D.J. Jones,SFO,26,RDT,17,17,0,0,0,0,1,2,0,0,0,0,2,56,40,16,10,3,,JoneD.01
184,Darius Slay*,PHI,30,RCB,16,16,3,72,1,51,9,0,0,2,116,2,0,52,40,12,5,0,,SlayDa00
185,Daniel Sorensen,KAN,31,FS,17,7,2,75,1,75,8,,,,,0,1,51,40,11,3,3,,SoreDa01
186,K'Waun Williams,SFO,30,DB,14,8,1,4,0,4,4,1,0,0,0,0,1,52,40,12,5,2,,WillKW00
187,Marco Wilson,ARI,22,RCB,14,13,0,0,0,0,4,2,0,0,0,0,0,48,40,8,1,0,,WilsMa04
188,Kwon Alexander,NOR,27,LLB,12,8,1,0,0,0,2,1,1,1,8,0,3.5,50,39,11,7,7,,AlexKw00
189,Marcus Epps,PHI,25,DB,16,3,1,0,0,0,5,,,,,0,0,62,39,23,0,0,,EppsMa00
190,Rashad Fenton,KAN,24,LCB,14,8,0,0,0,0,7,1,0,0,0,0,0,49,39,10,0,0,,FentRa00
191,Rudy Ford,JAX,27,DB,15,4,1,8,0,8,3,,,,,0,0.5,53,39,14,1,2,,FordRu00
192,Casey Hayward,LVR,32,RCB,17,17,1,0,0,0,9,,,,,0,0,46,39,7,3,0,1,HaywCa00
193,Dont'a Hightower,NWE,31,ROLB,15,15,0,0,0,0,1,,,,,0,1.5,64,39,25,1,4,,HighDo01
194,Xavien Howard*,MIA,28,RCB,16,16,5,54,1,37,16,2,0,2,51,1,1,50,39,11,0,1,,HowaXa00
195,Ben Niemann,KAN,26,LB,17,5,0,0,0,0,1,0,0,2,0,0,1,57,39,18,2,1,,NiemBe00
196,AJ Parker,DET,23,DB,13,7,1,0,0,0,7,1,0,0,0,0,0,50,39,11,1,0,,ParkAJ00
197,Isaiah Rodgers,IND,23,CB,17,1,3,24,0,12,7,0,1,0,0,0,0,49,39,10,1,0,,RodgIs00
198,Eli Apple,CIN,26,LCB,16,15,2,50,0,50,10,0,1,1,0,0,0,49,38,11,2,0,,ApplEl00
199,Anthony Barr,MIN,29,LLB,11,11,3,11,0,8,5,0,0,2,0,0,2.5,72,38,34,3,6,,BarrAn00
200,Jermaine Carter Jr.,CAR,26,MLB,17,17,0,0,0,0,1,0,0,1,0,0,0,88,38,50,3,3,,CartJe00
201,Aaron Donald*+,LAR,30,LDT,17,17,0,0,0,0,4,4,0,0,0,0,12.5,84,38,46,19,25,,DonaAa00
202,Amani Hooker,TEN,23,FS,12,12,1,21,0,21,4,1,0,0,0,0,0,62,38,24,1,0,,HookAm00
203,Grady Jarrett,ATL,28,LDE,17,17,0,0,0,0,1,0,0,1,0,0,1,59,38,21,3,12,,JarrGr00
204,Jackrabbit Jenkins,TEN,33,LCB,14,13,1,0,0,0,6,1,0,0,0,0,0,54,38,16,0,0,,JenkJa03
205,Lonnie Johnson Jr.,HOU,26,DB,14,7,3,47,0,32,6,,,,,0,0,55,38,17,0,0,,JohnLo01
206,Cameron Jordan*,NOR,32,LDE,16,16,0,0,0,0,6,2,0,0,0,0,12.5,59,38,21,13,22,,JordCa00
207,Matt Judon*,NWE,29,LOLB,17,16,0,0,0,0,1,0,0,1,-6,0,12.5,60,38,22,14,25,,JudoMa00
208,Arthur Maulet,PIT,28,DB,16,2,0,0,0,0,1,1,0,0,0,0,0,47,38,9,5,2,,MaulAr00
209,Robert Quinn*,CHI,31,LOLB/ROL,16,16,,,0,,,4,0,0,0,0,18.5,49,38,11,17,22,,QuinRo00
210,Reggie Ragland,NYG,28,LOLB,17,9,0,0,0,0,2,0,0,1,0,0,0,67,38,29,2,1,,RaglRe00
211,Shaquil Barrett*,TAM,29,ROLB,15,15,1,3,0,3,4,3,1,2,2,0,10,51,37,14,9,22,,BarrSh00
212,James Bradberry,NYG,28,LCB,17,16,4,19,0,14,17,0,1,2,13,0,0,47,37,10,0,0,,BradJa00
213,Leonard Floyd,LAR,29,RLB,17,17,1,11,0,11,3,1,0,1,0,0,9.5,70,37,33,7,18,,FloyLe00
214,Lawrence Guy,NWE,31,RDE,17,17,,,0,,,0,0,1,0,0,1.5,60,37,23,2,5,,GuyxLa00
215,Neville Hewitt,HOU,28,MLB,17,5,,,0,,,,,,,0,0,60,37,23,1,1,,HewiNe00
216,Jaylon Johnson,CHI,22,LCB,15,15,1,3,0,3,9,1,0,0,0,0,0,46,37,9,1,0,,JohnJa13
217,John Johnson,CLE,26,FS,15,15,3,31,0,31,5,1,0,0,0,0,0.5,61,37,24,1,2,,JohnJo10
